epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.325,1.9085,2.09076,1.33061,0.05746,0.04604,0.03266,0.01473,2.35267,2.62102,1.63275,0.07024,0.00330667,0.00330667
2,28.271,1.98609,1.7958,1.3763,0.34127,0.09206,0.07169,0.03345,2.07713,2.36271,1.47098,0.0401743,0.00657426,0.00657426
3,50.5682,1.92613,1.70175,1.35281,0.35219,0.07996,0.07633,0.03655,1.97706,2.1949,1.3724,0.0100425,0.00977586,0.00977586
4,62.9814,1.85836,1.60729,1.31262,0.28678,0.13656,0.11941,0.05411,1.84932,1.65684,1.3153,0.009703,0.009703,0.009703
5,75.6169,1.80108,1.55448,1.29248,0.37197,0.16208,0.12402,0.0592,1.80551,1.59801,1.28996,0.009604,0.009604,0.009604
6,87.7229,1.77458,1.50681,1.28011,0.45594,0.15833,0.12869,0.0605,1.78801,1.5253,1.27089,0.009505,0.009505,0.009505
7,99.9934,1.7449,1.45214,1.25235,0.50287,0.16641,0.14472,0.07075,1.75944,1.47689,1.261,0.009406,0.009406,0.009406
8,112.484,1.70974,1.4058,1.24096,0.5449,0.14459,0.13641,0.06778,1.7736,1.46438,1.25342,0.009307,0.009307,0.009307
9,125.133,1.71921,1.42373,1.24666,0.59724,0.18144,0.16984,0.08255,1.69327,1.42206,1.25138,0.009208,0.009208,0.009208
10,137.184,1.66224,1.35423,1.21892,0.34131,0.18426,0.16888,0.08208,1.71934,1.36955,1.24117,0.009109,0.009109,0.009109
11,215.949,1.65566,1.35694,1.21724,0.53777,0.1817,0.17456,0.0876,1.63753,1.32871,1.20193,0.00901,0.00901,0.00901
12,231.009,1.64728,1.33744,1.20981,0.43403,0.20366,0.17482,0.08572,1.68232,1.32488,1.21845,0.008911,0.008911,0.008911
13,244.383,1.63322,1.31817,1.19748,0.2975,0.21545,0.19327,0.09521,1.65061,1.31132,1.20055,0.008812,0.008812,0.008812
14,256.661,1.62696,1.3034,1.19874,0.26715,0.19557,0.165,0.07867,1.69578,1.38498,1.21687,0.008713,0.008713,0.008713
15,268.77,1.60407,1.27188,1.18417,0.21538,0.22278,0.18537,0.09218,1.60251,1.2404,1.18378,0.008614,0.008614,0.008614
16,280.729,1.59457,1.26872,1.18252,0.49212,0.21455,0.20096,0.09894,1.60338,1.2721,1.16951,0.008515,0.008515,0.008515
17,292.883,1.59198,1.26933,1.17949,0.36129,0.21816,0.21075,0.10659,1.57214,1.21035,1.16715,0.008416,0.008416,0.008416
18,305.503,1.59292,1.25329,1.17506,0.45158,0.21794,0.20546,0.10212,1.58684,1.23205,1.17277,0.008317,0.008317,0.008317
19,317.862,1.5794,1.24709,1.17061,0.29564,0.24655,0.21285,0.10689,1.57064,1.19895,1.15825,0.008218,0.008218,0.008218
20,330.042,1.55481,1.22228,1.1588,0.30536,0.22461,0.21442,0.10655,1.58381,1.19213,1.16921,0.008119,0.008119,0.008119
21,342.395,1.56198,1.21588,1.16005,0.45777,0.22741,0.20628,0.10224,1.56189,1.16744,1.15217,0.00802,0.00802,0.00802
22,355.812,1.56876,1.21571,1.16644,0.42821,0.24171,0.21877,0.1089,1.5586,1.13442,1.13936,0.007921,0.007921,0.007921
23,368.512,1.55007,1.18352,1.15764,0.29859,0.25606,0.22865,0.11821,1.53289,1.17356,1.14319,0.007822,0.007822,0.007822
24,381.426,1.54007,1.18397,1.145,0.32399,0.22394,0.20772,0.09913,1.59208,1.21211,1.16104,0.007723,0.007723,0.007723
25,395.563,1.54364,1.20822,1.15949,0.29313,0.24264,0.22352,0.11337,1.55654,1.17133,1.15235,0.007624,0.007624,0.007624
26,408.526,1.54345,1.1832,1.15266,0.44286,0.24003,0.22349,0.11289,1.56995,1.1799,1.14507,0.007525,0.007525,0.007525
27,421.234,1.51599,1.15953,1.13886,0.42817,0.24713,0.24137,0.12077,1.53336,1.12014,1.1296,0.007426,0.007426,0.007426
28,433.366,1.50966,1.1622,1.13853,0.3318,0.2475,0.22356,0.11422,1.54624,1.15454,1.13754,0.007327,0.007327,0.007327
29,445.995,1.52521,1.16036,1.14696,0.4343,0.2695,0.23792,0.12135,1.52544,1.17126,1.1369,0.007228,0.007228,0.007228
30,458.3,1.50466,1.14889,1.13489,0.30743,0.26979,0.23842,0.12134,1.51658,1.11445,1.1213,0.007129,0.007129,0.007129
31,470.681,1.5016,1.13216,1.13021,0.44763,0.2755,0.24394,0.1243,1.50675,1.09321,1.11927,0.00703,0.00703,0.00703
32,482.936,1.50793,1.15101,1.1312,0.33119,0.24764,0.23666,0.11953,1.52329,1.10749,1.13314,0.006931,0.006931,0.006931
33,495.709,1.48114,1.12022,1.1215,0.41803,0.236,0.23404,0.11846,1.52115,1.10552,1.12033,0.006832,0.006832,0.006832
34,508.751,1.49439,1.13254,1.13014,0.49678,0.25863,0.24948,0.12439,1.5021,1.10378,1.11649,0.006733,0.006733,0.006733
35,520.961,1.49144,1.12085,1.12673,0.3944,0.27226,0.23922,0.12204,1.50324,1.11365,1.12049,0.006634,0.006634,0.006634
36,533.719,1.46955,1.11404,1.11805,0.39253,0.27323,0.26128,0.12956,1.50169,1.08121,1.10805,0.006535,0.006535,0.006535
37,546.469,1.47668,1.10463,1.11483,0.29127,0.28843,0.24472,0.12176,1.51501,1.08329,1.12161,0.006436,0.006436,0.006436
38,559.121,1.47411,1.10477,1.12042,0.44294,0.2675,0.24827,0.12623,1.49856,1.07788,1.11475,0.006337,0.006337,0.006337
39,571.328,1.46676,1.10654,1.1184,0.44519,0.25074,0.24552,0.12441,1.50213,1.07258,1.11383,0.006238,0.006238,0.006238
40,583.482,1.47577,1.09311,1.11406,0.41907,0.28888,0.25413,0.12824,1.48861,1.06694,1.10918,0.006139,0.006139,0.006139
41,596.585,1.45942,1.08125,1.11035,0.43077,0.28022,0.25034,0.12755,1.48667,1.06596,1.11536,0.00604,0.00604,0.00604
42,608.768,1.46231,1.08685,1.11247,0.4804,0.28927,0.26861,0.13611,1.48257,1.05319,1.11077,0.005941,0.005941,0.005941
43,621.208,1.46366,1.08614,1.11098,0.44813,0.29541,0.26566,0.13751,1.46292,1.03903,1.09847,0.005842,0.005842,0.005842
44,634.882,1.45686,1.07859,1.10367,0.44105,0.29947,0.26584,0.13389,1.48675,1.05145,1.10565,0.005743,0.005743,0.005743
45,647.292,1.4499,1.06342,1.11068,0.44515,0.30672,0.26743,0.13742,1.46986,1.03856,1.09708,0.005644,0.005644,0.005644
46,659.748,1.45354,1.06628,1.10292,0.4258,0.29711,0.26571,0.13474,1.47232,1.0632,1.10249,0.005545,0.005545,0.005545
47,672.051,1.44598,1.06198,1.10209,0.46039,0.27975,0.26076,0.13361,1.4795,1.06533,1.10275,0.005446,0.005446,0.005446
48,684.272,1.44568,1.07638,1.10828,0.43594,0.26194,0.2622,0.13521,1.47834,1.03846,1.10294,0.005347,0.005347,0.005347
49,696.516,1.43573,1.04927,1.09525,0.46992,0.30161,0.273,0.14191,1.46123,1.01675,1.09664,0.005248,0.005248,0.005248
