epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6113,1.9085,2.09076,1.33061,0.05746,0.04604,0.03266,0.01473,2.35267,2.62102,1.63275,0.07024,0.00330667,0.00330667
2,29.3855,1.99209,1.80634,1.38011,0.2808,0.07771,0.05153,0.02392,2.20259,3.36463,1.64199,0.0402071,0.00660713,0.00660713
3,41.8187,1.93169,1.71424,1.35849,0.21123,0.1187,0.084,0.03867,1.96226,1.94424,1.43285,0.0101413,0.0098746,0.0098746
4,53.7642,1.85993,1.61648,1.31621,0.36023,0.119,0.09621,0.04537,1.91229,1.80946,1.33509,0.0098515,0.0098515,0.0098515
5,66.0902,1.79678,1.55103,1.28902,0.34719,0.13877,0.10784,0.05236,1.80612,1.65575,1.29332,0.009802,0.009802,0.009802
6,78.5478,1.76158,1.49707,1.27722,0.39818,0.16019,0.13348,0.06297,1.79343,1.52277,1.28754,0.0097525,0.0097525,0.0097525
7,91.0264,1.74817,1.45176,1.2528,0.49373,0.15603,0.13736,0.06571,1.79987,1.56026,1.26343,0.009703,0.009703,0.009703
8,103.616,1.72316,1.41924,1.24053,0.40458,0.15861,0.14098,0.06856,1.77028,1.449,1.24872,0.0096535,0.0096535,0.0096535
9,116.344,1.71684,1.41791,1.24241,0.41492,0.18031,0.16701,0.08136,1.70276,1.41935,1.25603,0.009604,0.009604,0.009604
10,128.269,1.67873,1.37561,1.22521,0.37372,0.17029,0.1597,0.07888,1.68984,1.3411,1.22351,0.0095545,0.0095545,0.0095545
11,143.325,1.66986,1.37458,1.22127,0.52475,0.18484,0.16446,0.08409,1.64751,1.33936,1.21238,0.009505,0.009505,0.009505
12,160.711,1.64882,1.34644,1.20759,0.2719,0.20347,0.18072,0.09181,1.6393,1.3178,1.20677,0.0094555,0.0094555,0.0094555
13,174.162,1.65205,1.3285,1.20092,0.23656,0.18764,0.16997,0.08234,1.65926,1.33207,1.2085,0.009406,0.009406,0.009406
14,186.566,1.63335,1.31169,1.20075,0.26978,0.21718,0.18614,0.09271,1.62884,1.2581,1.18651,0.0093565,0.0093565,0.0093565
15,198.631,1.62062,1.28596,1.18918,0.37182,0.20963,0.19335,0.09457,1.61686,1.24092,1.17758,0.009307,0.009307,0.009307
16,210.718,1.58881,1.26668,1.18005,0.4448,0.20778,0.20321,0.10158,1.60146,1.25155,1.17722,0.0092575,0.0092575,0.0092575
17,223.083,1.59159,1.26708,1.17833,0.49234,0.19558,0.1954,0.09836,1.5954,1.22357,1.17635,0.009208,0.009208,0.009208
18,235.547,1.59708,1.25593,1.17765,0.34263,0.22013,0.19765,0.10063,1.58971,1.19853,1.16547,0.0091585,0.0091585,0.0091585
19,247.918,1.59088,1.25374,1.18005,0.24191,0.21626,0.19492,0.09656,1.59543,1.25606,1.16966,0.009109,0.009109,0.009109
20,260.127,1.55974,1.22751,1.16196,0.39676,0.23669,0.22012,0.10558,1.59114,1.19044,1.17187,0.0090595,0.0090595,0.0090595
21,272.524,1.56126,1.21778,1.15806,0.40281,0.23623,0.21866,0.10947,1.55263,1.15342,1.14632,0.00901,0.00901,0.00901
22,289.123,1.56715,1.22141,1.16404,0.38852,0.24646,0.21741,0.108,1.5637,1.15661,1.15161,0.0089605,0.0089605,0.0089605
23,301.636,1.56426,1.20332,1.15848,0.30428,0.25171,0.22161,0.11181,1.54901,1.1753,1.13779,0.008911,0.008911,0.008911
24,314.639,1.54705,1.18487,1.15144,0.53279,0.20313,0.2051,0.10163,1.56056,1.17606,1.15606,0.0088615,0.0088615,0.0088615
25,328.755,1.56891,1.22723,1.16752,0.26958,0.2309,0.20091,0.09996,1.59702,1.23376,1.15616,0.008812,0.008812,0.008812
26,341.63,1.55412,1.20772,1.15798,0.39616,0.23789,0.21931,0.11266,1.56628,1.16202,1.15058,0.0087625,0.0087625,0.0087625
27,354.359,1.52997,1.17088,1.14794,0.39141,0.22889,0.22199,0.11202,1.57343,1.15618,1.1445,0.008713,0.008713,0.008713
28,366.732,1.52917,1.17543,1.14581,0.27943,0.26149,0.21984,0.10967,1.55443,1.1639,1.14569,0.0086635,0.0086635,0.0086635
29,379.627,1.54026,1.17864,1.15492,0.43564,0.25496,0.23001,0.1135,1.53652,1.14175,1.13606,0.008614,0.008614,0.008614
30,392.18,1.53001,1.1775,1.14618,0.39133,0.27048,0.23325,0.11705,1.55287,1.13895,1.13998,0.0085645,0.0085645,0.0085645
31,404.783,1.5175,1.15318,1.13765,0.39134,0.25282,0.22589,0.11209,1.53325,1.13539,1.13484,0.008515,0.008515,0.008515
32,417.261,1.52085,1.16959,1.14121,0.28846,0.27304,0.23055,0.11475,1.52771,1.14263,1.13332,0.0084655,0.0084655,0.0084655
33,430.608,1.48601,1.13182,1.12487,0.31085,0.29069,0.24307,0.12159,1.51052,1.10579,1.12421,0.008416,0.008416,0.008416
34,443.914,1.50896,1.15195,1.13878,0.36211,0.25608,0.23842,0.11965,1.53954,1.12258,1.13269,0.0083665,0.0083665,0.0083665
35,455.98,1.52564,1.15479,1.13483,0.39953,0.27259,0.23716,0.11968,1.52292,1.11239,1.12316,0.008317,0.008317,0.008317
36,468.78,1.48021,1.12079,1.11999,0.34497,0.27314,0.24726,0.12391,1.52961,1.11689,1.12001,0.0082675,0.0082675,0.0082675
37,481.6,1.49448,1.1228,1.12541,0.41407,0.25969,0.2404,0.11973,1.52973,1.10846,1.11915,0.008218,0.008218,0.008218
