epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8935,1.78445,1.6913,1.25949,0.4755,0.12099,0.10355,0.04812,1.91862,1.74992,1.3524,0.0700685,0.00332572,0.00332572
2,98.2881,1.76553,1.49007,1.26782,0.49291,0.12067,0.1067,0.05019,1.99067,1.7177,1.35586,0.0400681,0.00665865,0.00665865
3,151.503,1.70368,1.40171,1.23758,0.37316,0.15488,0.13314,0.06265,1.8321,1.63826,1.30068,0.0100661,0.00998995,0.00998995
4,194.58,1.65339,1.32648,1.21295,0.48494,0.19277,0.17111,0.08018,1.65923,1.34838,1.21962,0.0099945,0.0099945,0.0099945
5,249.519,1.60871,1.27097,1.18768,0.48014,0.20902,0.19402,0.09672,1.59097,1.23547,1.17056,0.00999023,0.00999023,0.00999023
6,284.793,1.57829,1.23758,1.17293,0.44998,0.21865,0.20605,0.1011,1.57371,1.20647,1.15987,0.00998474,0.00998474,0.00998474
7,328.386,1.55781,1.20592,1.16152,0.51876,0.22645,0.21038,0.10719,1.56381,1.15618,1.14009,0.00997803,0.00997803,0.00997803
8,366.175,1.53061,1.17611,1.15095,0.48565,0.22907,0.22083,0.11188,1.5499,1.13568,1.15293,0.00997011,0.00997011,0.00997011
9,406.483,1.52294,1.15845,1.14266,0.63059,0.23869,0.22895,0.11593,1.52996,1.14758,1.1326,0.00996097,0.00996097,0.00996097
10,445.92,1.50753,1.13878,1.13174,0.33015,0.24157,0.22813,0.11864,1.51965,1.14451,1.13459,0.00995062,0.00995062,0.00995062
11,485.05,1.49759,1.11945,1.12604,0.3355,0.28869,0.24693,0.12763,1.48836,1.08267,1.11314,0.00993906,0.00993906,0.00993906
12,522.926,1.49139,1.12464,1.12611,0.31609,0.26443,0.23444,0.1199,1.49697,1.10411,1.10747,0.00992629,0.00992629,0.00992629
13,560.032,1.48418,1.10207,1.12364,0.40329,0.26677,0.2372,0.12128,1.50783,1.13632,1.12195,0.00991232,0.00991232,0.00991232
14,598.416,1.47311,1.10169,1.11843,0.30178,0.2852,0.25295,0.12924,1.48054,1.05946,1.10077,0.00989715,0.00989715,0.00989715
15,637.512,1.46821,1.08372,1.1135,0.29821,0.2714,0.24739,0.12804,1.46938,1.04228,1.09348,0.00988079,0.00988079,0.00988079
16,674.134,1.45251,1.07557,1.10866,0.3255,0.29782,0.26343,0.13369,1.4714,1.04579,1.09585,0.00986323,0.00986323,0.00986323
17,711.639,1.45468,1.07056,1.10692,0.41182,0.28683,0.26946,0.13583,1.46738,1.03001,1.09032,0.00984449,0.00984449,0.00984449
18,749.903,1.44267,1.05611,1.10009,0.34377,0.27354,0.26597,0.13458,1.47065,1.01991,1.08839,0.00982456,0.00982456,0.00982456
19,788.058,1.43927,1.04492,1.09582,0.50381,0.27543,0.27137,0.14042,1.44696,1.01115,1.08859,0.00980345,0.00980345,0.00980345
20,824.734,1.4377,1.04751,1.10001,0.46793,0.28522,0.27345,0.14367,1.44852,1.0219,1.08771,0.00978118,0.00978118,0.00978118
21,862.328,1.43873,1.04841,1.09717,0.32594,0.29706,0.27257,0.14389,1.43568,1.00923,1.07877,0.00975773,0.00975773,0.00975773
22,898.914,1.43428,1.03735,1.09398,0.46411,0.32093,0.2834,0.14567,1.41962,0.9916,1.07058,0.00973312,0.00973312,0.00973312
23,935.151,1.42018,1.02829,1.09325,0.34332,0.3147,0.27596,0.1419,1.45947,1.04921,1.08196,0.00970736,0.00970736,0.00970736
24,972.451,1.42647,1.02088,1.09248,0.49515,0.28463,0.28964,0.15297,1.42772,0.97952,1.07209,0.00968045,0.00968045,0.00968045
