               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087716,            0.068451,            0.032072,             0.49807,            0.099959,            0.068292,            0.026544,            0.066219,            0.060732,            0.021859,            0.070137,           0.0033181,           0.0033181
                   1,             0.06739,            0.063178,            0.016381,             0.70196,             0.15935,             0.14565,            0.054649,             0.06189,            0.057648,            0.015506,            0.040104,           0.0066185,           0.0066185
                   2,            0.063096,            0.061061,            0.012914,             0.64421,             0.19856,              0.1854,            0.077071,            0.057277,            0.059261,            0.013334,            0.010038,           0.0098859,           0.0098859
                   3,            0.057241,            0.060693,             0.01095,             0.59477,             0.23943,             0.22491,             0.10049,            0.053558,            0.059924,            0.011987,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053588,            0.059161,           0.0095633,             0.63484,             0.24445,              0.2545,             0.11784,            0.052114,            0.058773,            0.011565,           0.0098515,           0.0098515,           0.0098515
                   5,            0.051193,            0.057486,           0.0086317,             0.61424,             0.25719,             0.25872,             0.12072,            0.051741,            0.059514,            0.010967,            0.009802,            0.009802,            0.009802
                   6,            0.049555,            0.055985,           0.0079462,             0.53279,             0.27195,             0.27109,             0.13009,            0.050405,            0.058667,            0.010692,           0.0097525,           0.0097525,           0.0097525
                   7,            0.048153,            0.054741,           0.0073579,             0.58833,              0.2627,             0.28887,             0.13511,            0.050497,            0.060049,            0.010224,            0.009703,            0.009703,            0.009703
                   8,            0.047012,            0.053334,           0.0067586,             0.50164,              0.2957,              0.2877,             0.13504,            0.050003,            0.058935,            0.010191,           0.0096535,           0.0096535,           0.0096535
                   9,            0.046117,             0.05238,           0.0063626,             0.51266,             0.30957,             0.29375,             0.13819,            0.049927,            0.058545,            0.010104,            0.009604,            0.009604,            0.009604
                  10,            0.045148,            0.051415,           0.0059517,             0.52152,             0.31192,             0.30038,             0.14648,            0.049163,            0.058307,            0.010206,           0.0095545,           0.0095545,           0.0095545
                  11,            0.044687,            0.050211,           0.0055943,              0.6058,             0.29988,             0.30576,             0.14472,            0.049241,             0.05883,             0.01028,            0.009505,            0.009505,            0.009505
                  12,            0.043874,            0.049197,            0.005248,             0.48206,             0.32611,             0.30712,             0.14564,            0.050138,            0.059705,            0.010271,           0.0094555,           0.0094555,           0.0094555
                  13,            0.043452,            0.048216,           0.0049433,             0.52834,             0.31375,             0.31372,             0.15062,            0.049357,            0.060458,           0.0099446,            0.009406,            0.009406,            0.009406
