               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089339,            0.077189,            0.032617,              0.2727,             0.11114,            0.055954,            0.021093,            0.071504,            0.060342,            0.022883,            0.070137,           0.0033181,           0.0033181
                   1,            0.069354,            0.074777,            0.018018,             0.40664,              0.1819,             0.14577,            0.057102,            0.062539,            0.057342,            0.015788,            0.040104,           0.0066185,           0.0066185
                   2,             0.06546,            0.072426,            0.014558,             0.60408,             0.18239,             0.15904,            0.062914,            0.060264,            0.061735,            0.014435,            0.010038,           0.0098859,           0.0098859
                   3,            0.060047,            0.073865,              0.0129,             0.54133,             0.23811,             0.21867,            0.096137,            0.055062,            0.059192,            0.012245,           0.0098515,           0.0098515,           0.0098515
                   4,            0.056869,            0.073112,            0.011676,             0.62805,             0.23821,              0.2484,             0.11359,            0.052575,            0.058873,            0.011406,           0.0098515,           0.0098515,           0.0098515
                   5,            0.055232,            0.072643,            0.011283,             0.60874,              0.2525,             0.25175,             0.11212,            0.052373,            0.058306,            0.011042,            0.009802,            0.009802,            0.009802
                   6,             0.05383,            0.071774,            0.010647,             0.65094,              0.2631,             0.27766,             0.13049,            0.049498,            0.057258,            0.010407,           0.0097525,           0.0097525,           0.0097525
                   7,            0.052816,            0.071306,             0.01041,               0.631,             0.27291,             0.28519,             0.13628,            0.048742,            0.057177,            0.009829,            0.009703,            0.009703,            0.009703
                   8,             0.05172,            0.070439,            0.010065,             0.48041,              0.3035,             0.29598,             0.14119,            0.048818,            0.056544,           0.0095622,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051258,            0.070868,           0.0099083,             0.49877,             0.32324,             0.31084,             0.15109,            0.048123,            0.055812,           0.0094613,            0.009604,            0.009604,            0.009604
                  10,            0.050346,            0.069775,           0.0094591,             0.57649,             0.28744,             0.31496,             0.15403,            0.047905,            0.055648,           0.0092182,           0.0095545,           0.0095545,           0.0095545
                  11,            0.050087,            0.069021,            0.009319,             0.52641,             0.32674,             0.32718,             0.16128,            0.047503,            0.055928,           0.0088958,            0.009505,            0.009505,            0.009505
                  12,            0.049585,             0.06914,           0.0092257,             0.50011,             0.33894,             0.32887,             0.15948,            0.047067,            0.055232,           0.0089073,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049213,            0.069271,           0.0090377,             0.51933,             0.34084,             0.33235,             0.16089,            0.046765,            0.054991,           0.0090734,            0.009406,            0.009406,            0.009406
                  14,            0.048742,            0.068811,           0.0089263,             0.52025,             0.33183,             0.32434,             0.15879,             0.04687,            0.055039,             0.00902,           0.0093565,           0.0093565,           0.0093565
                  15,            0.048652,             0.06816,           0.0088659,             0.55633,              0.3615,             0.34774,              0.1712,            0.046755,            0.054284,           0.0086983,            0.009307,            0.009307,            0.009307
                  16,            0.048327,            0.067976,           0.0086077,              0.4791,             0.32868,             0.32302,             0.16057,            0.046574,            0.054904,           0.0088077,           0.0092575,           0.0092575,           0.0092575
                  17,            0.048149,            0.068234,           0.0084391,              0.5291,             0.34988,             0.34835,             0.17195,            0.046344,            0.054473,           0.0084764,            0.009208,            0.009208,            0.009208
                  18,            0.047852,            0.067635,           0.0085119,             0.55253,             0.36086,             0.35647,             0.17987,            0.046081,            0.053926,           0.0083569,           0.0091585,           0.0091585,           0.0091585
                  19,            0.047605,            0.067505,           0.0085166,             0.55147,             0.33359,             0.35322,             0.17715,            0.046142,             0.05433,           0.0083356,            0.009109,            0.009109,            0.009109
                  20,            0.047374,            0.067252,           0.0082525,             0.58736,             0.37368,             0.37034,             0.18642,            0.045579,            0.053535,           0.0081087,           0.0090595,           0.0090595,           0.0090595
                  21,            0.047286,            0.066695,           0.0082732,             0.53665,             0.35356,             0.36262,             0.18193,            0.045611,            0.053998,           0.0082638,             0.00901,             0.00901,             0.00901
                  22,            0.047207,            0.066505,           0.0081496,             0.58695,             0.36959,              0.3709,              0.1878,            0.045448,             0.05387,           0.0080099,           0.0089605,           0.0089605,           0.0089605
                  23,            0.047249,            0.067087,           0.0080753,             0.54432,             0.37714,             0.37111,             0.18858,            0.045417,            0.053564,            0.008058,            0.008911,            0.008911,            0.008911
                  24,            0.046856,            0.066627,           0.0080233,             0.57974,             0.38146,              0.3796,             0.18678,            0.045248,            0.053504,           0.0080348,           0.0088615,           0.0088615,           0.0088615
                  25,            0.046822,            0.066564,           0.0079677,             0.59958,             0.35376,             0.37374,             0.18757,            0.045065,            0.053439,            0.007983,            0.008812,            0.008812,            0.008812
                  26,            0.046844,            0.066687,           0.0079501,             0.56994,             0.37148,             0.37495,             0.18581,            0.045107,            0.053565,           0.0078891,           0.0087625,           0.0087625,           0.0087625
                  27,            0.046465,            0.066027,           0.0077907,              0.6292,             0.37712,             0.39192,             0.19488,            0.044853,             0.05316,           0.0078748,            0.008713,            0.008713,            0.008713
                  28,            0.046364,            0.066233,              0.0077,             0.60689,             0.36875,             0.37878,             0.18999,            0.045034,            0.053185,           0.0077661,           0.0086635,           0.0086635,           0.0086635
                  29,            0.046409,            0.066164,           0.0077409,              0.5701,             0.38562,              0.3909,             0.19644,            0.044816,            0.052912,           0.0076355,            0.008614,            0.008614,            0.008614
                  30,            0.046056,            0.066076,           0.0077105,             0.59169,             0.37029,             0.38867,             0.19474,            0.044708,            0.053265,           0.0077071,           0.0085645,           0.0085645,           0.0085645
                  31,            0.045921,            0.066176,           0.0076072,             0.59814,             0.38729,              0.3975,             0.20422,            0.044556,            0.053134,           0.0074318,            0.008515,            0.008515,            0.008515
