               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10818,            0.086642,            0.050403,          0.00035973,           0.0061914,          0.00020569,          5.7548e-05,             0.12542,             0.20402,             0.06218,            0.070137,           0.0033181,           0.0033181
                   1,            0.094443,            0.078981,            0.025747,             0.52653,             0.02375,            0.011213,           0.0032299,            0.092909,            0.076416,            0.025787,            0.040104,           0.0066185,           0.0066185
                   2,             0.08564,            0.077372,            0.020032,             0.66712,            0.046378,              0.0319,           0.0098835,            0.084332,            0.075039,            0.020471,            0.010038,           0.0098859,           0.0098859
                   3,            0.076664,            0.074699,            0.016449,             0.70081,            0.074222,            0.059168,            0.020476,            0.073633,            0.071138,            0.018382,           0.0098515,           0.0098515,           0.0098515
                   4,            0.069573,             0.07174,            0.014251,             0.56476,             0.12972,            0.098001,              0.0378,            0.067017,            0.066712,             0.01587,           0.0098515,           0.0098515,           0.0098515
                   5,            0.064817,             0.06937,            0.012889,             0.47741,             0.15506,             0.12158,            0.048817,            0.063733,            0.065844,             0.01464,            0.009802,            0.009802,            0.009802
                   6,            0.061521,            0.067231,            0.011842,             0.59082,             0.15944,             0.12883,            0.053696,            0.061793,             0.06469,            0.013767,           0.0097525,           0.0097525,           0.0097525
                   7,            0.059192,            0.065609,            0.011126,              0.6023,             0.17118,             0.14935,            0.061611,            0.060353,            0.065033,            0.013444,            0.009703,            0.009703,            0.009703
                   8,            0.057259,            0.063907,            0.010514,             0.61578,             0.17604,             0.15571,            0.064337,            0.059634,            0.063242,            0.013437,           0.0096535,           0.0096535,           0.0096535
                   9,            0.055677,            0.062459,           0.0099335,             0.60838,             0.18818,             0.16377,            0.068011,             0.05917,            0.063519,            0.012949,            0.009604,            0.009604,            0.009604
                  10,            0.054333,            0.061083,           0.0094542,              0.6226,             0.18391,             0.16001,            0.067187,            0.058516,             0.06342,            0.013703,           0.0095545,           0.0095545,           0.0095545
                  11,            0.053339,            0.059662,            0.009021,             0.63629,             0.19789,             0.17883,            0.076744,            0.057321,            0.063141,            0.012697,            0.009505,            0.009505,            0.009505
                  12,            0.052394,            0.058596,           0.0086082,               0.536,             0.20884,             0.18313,             0.07785,            0.057254,            0.062669,            0.012444,           0.0094555,           0.0094555,           0.0094555
                  13,            0.051307,            0.057168,            0.008153,             0.54661,             0.19185,             0.18147,            0.077715,             0.05739,            0.064076,            0.013662,            0.009406,            0.009406,            0.009406
                  14,            0.050511,            0.056159,           0.0078694,             0.57005,             0.20096,             0.18709,            0.078872,            0.057096,            0.063753,            0.012389,           0.0093565,           0.0093565,           0.0093565
                  15,            0.049976,            0.055269,           0.0074814,             0.55702,             0.20838,             0.18457,             0.07832,            0.056691,            0.064103,            0.012761,            0.009307,            0.009307,            0.009307
                  16,            0.049208,            0.054361,            0.007141,             0.46028,             0.20592,             0.19081,            0.081728,            0.056613,             0.06444,            0.012528,           0.0092575,           0.0092575,           0.0092575
                  17,            0.048496,            0.053303,           0.0069133,             0.45653,             0.20669,             0.18506,            0.077949,            0.057079,            0.065284,            0.012745,            0.009208,            0.009208,            0.009208
                  18,            0.047883,            0.052445,           0.0065653,             0.47688,             0.20548,             0.19355,            0.082082,            0.056405,            0.064623,            0.012797,           0.0091585,           0.0091585,           0.0091585
                  19,            0.047519,            0.051554,           0.0063991,             0.58425,             0.21143,             0.20548,            0.087269,            0.056505,             0.06528,            0.012376,            0.009109,            0.009109,            0.009109
                  20,            0.047042,            0.050639,           0.0061349,             0.57629,             0.21061,             0.19959,            0.086617,            0.056485,            0.066223,            0.012732,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046273,            0.049867,           0.0059036,             0.47598,             0.21479,              0.2057,            0.088433,            0.056031,            0.066194,            0.012253,             0.00901,             0.00901,             0.00901
                  22,             0.04602,            0.049092,            0.005698,             0.44326,             0.23287,             0.20173,            0.086777,            0.056403,            0.067558,             0.01298,           0.0089605,           0.0089605,           0.0089605
                  23,            0.045504,            0.048383,           0.0054515,             0.43545,             0.22977,             0.20009,            0.085397,            0.056232,            0.068111,            0.012869,            0.008911,            0.008911,            0.008911
                  24,            0.044985,            0.047882,           0.0052798,             0.46013,             0.20691,             0.20516,            0.088211,            0.056418,            0.069345,            0.012671,           0.0088615,           0.0088615,           0.0088615
                  25,             0.04475,             0.04719,           0.0051363,             0.42689,              0.2131,              0.2041,            0.089599,            0.056092,            0.067983,            0.012817,            0.008812,            0.008812,            0.008812
                  26,            0.044196,            0.046614,            0.004951,             0.40942,               0.245,             0.20541,            0.088577,            0.056651,            0.069633,            0.013196,           0.0087625,           0.0087625,           0.0087625
                  27,            0.043972,             0.04599,           0.0048183,             0.41693,             0.22769,             0.20576,            0.090743,             0.05609,            0.070004,            0.012899,            0.008713,            0.008713,            0.008713
                  28,            0.043736,            0.045544,           0.0046936,             0.40146,              0.2303,              0.2045,            0.089232,            0.056437,            0.069912,            0.012839,           0.0086635,           0.0086635,           0.0086635
