epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.553,1.91682,2.00114,1.32206,0.14375,0.06957,0.02559,0.01304,2.19756,5.24262,1.68926,0.07024,0.00330667,0.00330667
2,1361.34,1.95709,1.72179,1.3616,0.07117,0.09925,0.0425,0.0203,2.19635,3.67783,1.54142,0.0400791,0.00647913,0.00647913
3,2027.86,1.88673,1.59009,1.33404,0.42274,0.09487,0.11727,0.05098,2.08401,2.06038,1.4227,0.00929716,0.00903049,0.00903049
4,2686.78,1.8139,1.49848,1.29038,0.47211,0.14435,0.11187,0.05402,1.9029,1.79369,1.34483,0.00795954,0.00795954,0.00795954
5,3349.65,1.75188,1.41153,1.25915,0.4714,0.14311,0.11806,0.05701,1.86259,1.65433,1.31832,0.00657963,0.00657963,0.00657963
6,4010.14,1.69165,1.33741,1.22464,0.43986,0.17365,0.14951,0.07271,1.74395,1.39212,1.24504,0.00505,0.00505,0.00505
7,4669.49,1.63313,1.25159,1.20059,0.46888,0.18793,0.17711,0.08877,1.66016,1.28773,1.20207,0.00352037,0.00352037,0.00352037
8,5333.07,1.57294,1.19697,1.17172,0.46902,0.20946,0.19549,0.09882,1.59899,1.21299,1.16746,0.00214046,0.00214046,0.00214046
9,5996.41,1.52713,1.1386,1.14524,0.45163,0.22447,0.21242,0.10905,1.54209,1.15854,1.1542,0.00104537,0.00104537,0.00104537
10,6662.29,1.49799,1.10764,1.13514,0.47198,0.242,0.22618,0.11493,1.5231,1.12928,1.13858,0.00034227,0.00034227,0.00034227
